"dr_no","date_rptd","date_occ","time_occ","area","area_name","rpt_dist_no","part_1_2","crm_cd","crm_cd_desc","vict_age","vict_sex","vict_descent","premis_cd","premis_desc","status","status_desc","crm_cd_1","location","lat","lon"
240405832,2024-02-25,2023-12-05,408,4,"Hollenbeck",448,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",28,"X","X",710,"OTHER PREMISE","IC","Invest Cont",341,"CHELSEA",34.0565,-118.2006
210620462,2021-12-15,2021-12-06,1030,6,"Hollywood",643,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",53,"M","W",507,"CONDOMINIUM/TOWNHOUSE","IC","Invest Cont",341,"1700    CAMINO PALMERO               ST",34.1016,-118.35
211013087,2021-10-06,2021-09-30,2000,10,"West Valley",1012,2,932,"PEEPING TOM",63,"M","H",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",932,"18700    VALERIO                      ST",34.2047,-118.5407
210618840,2021-11-09,2021-11-09,45,6,"Hollywood",647,1,420,"THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)",24,"F","W",707,"GARAGE/CARPORT","IC","Invest Cont",420,"1500 N  BRONSON                      AV",34.098,-118.318
220113809,2022-06-09,2022-06-08,2134,1,"Central",162,1,330,"BURGLARY FROM VEHICLE",43,"M","B",108,"PARKING LOT","IC","Invest Cont",330,"700 S  FLOWER                       ST",34.0487,-118.2588
210218067,2021-11-29,2021-10-29,200,2,"Rampart",236,1,310,"BURGLARY",56,"M","H",502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","IC","Invest Cont",310,"100 S  ALVARADO                     ST",34.0663,-118.2706
221913915,2022-08-30,2022-08-30,2058,19,"Mission",1961,1,648,"ARSON",28,"M","O",301,"GAS STATION","IC","Invest Cont",648,"9800 N  SEPULVEDA                    BL",34.2482,-118.4676
241108219,2024-05-20,2024-05-19,2250,11,"Northeast",1129,1,210,"ROBBERY",43,"F","B",108,"PARKING LOT","AO","Adult Other",210,"6400    YORK                         BL",34.1144,-118.1815
200320091,2020-11-09,2020-11-09,645,3,"Southwest",376,1,510,"VEHICLE - STOLEN",28,"F","X",101,"STREET","IC","Invest Cont",510,"41ST                         DR",34.0145,-118.3045
202006473,2020-02-21,2020-02-21,2300,20,"Olympic",2027,2,901,"VIOLATION OF RESTRAINING ORDER",64,"M","B",108,"PARKING LOT","AO","Adult Other",901,"NEW HAMPSHIRE                AV",34.0618,-118.2929
241008487,2024-05-03,2024-05-02,1800,10,"West Valley",1094,2,354,"THEFT OF IDENTITY",50,"M","B",501,"SINGLE FAMILY DWELLING","IC","Invest Cont",354,"17900    VALLEY VISTA                 BL",34.158,-118.5225
231200523,2023-01-16,2023-01-16,1650,12,"77th Street",1257,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",56,"M","H",101,"STREET","AA","Adult Arrest",230,"FIGUEROA                     ST",33.9708,-118.2827
240705983,2024-02-14,2024-02-04,1530,7,"Wilshire",721,2,888,"TRESPASSING",28,"X","X",504,"OTHER RESIDENCE","IC","Invest Cont",888,"300 S  SHERBOURNE                   DR",34.0736,-118.3795
231015535,2023-11-05,2023-11-05,1238,10,"West Valley",1097,1,310,"BURGLARY",41,"M","O",501,"SINGLE FAMILY DWELLING","AA","Adult Arrest",310,"16900    ENCINO HILLS                 DR",34.1351,-118.5018
